step 37500: train loss 3.0674, val loss 3.0796
saving checkpoint to out
iter 38970: loss 3.1853, time 4272.63ms, mfu 33.80%
iter 38980: loss 3.1911, time 3937.51ms, mfu 33.84%
iter 38990: loss 3.0542, time 4065.67ms, mfu 33.77%
step 39000: train loss 3.0518, val loss 3.0608
saving checkpoint to out
iter 39000: loss 2.7958, time 18148.92ms, mfu 31.13%
iter 39010: loss 3.0453, time 3936.33ms, mfu 31.44%
iter 39020: loss 3.1002, time 4218.51ms, mfu 31.49%
iter 39030: loss 3.1701, time 3937.36ms, mfu 31.76%
iter 39040: loss 3.2566, time 4035.43ms, mfu 31.92%
iter 39050: loss 3.3466, time 4240.34ms, mfu 31.90%
iter 39060: loss 3.2432, time 4341.01ms, mfu 31.82%
iter 39070: loss 2.9243, time 3936.74ms, mfu 32.05%
iter 39080: loss 3.0828, time 4235.75ms, mfu 32.03%
iter 39090: loss 3.2014, time 3935.00ms, mfu 32.25%
iter 39100: loss 3.3024, time 3935.81ms, mfu 32.44%
iter 39110: loss 3.0295, time 4104.25ms, mfu 32.48%
iter 39120: loss 2.9806, time 3937.03ms, mfu 32.65%
iter 39130: loss 3.2115, time 3936.62ms, mfu 32.81%
iter 39140: loss 2.6851, time 4025.37ms, mfu 32.87%
iter 39150: loss 3.0389, time 3935.84ms, mfu 33.01%
iter 39160: loss 2.9882, time 3936.63ms, mfu 33.13%
iter 39170: loss 3.0113, time 3937.30ms, mfu 33.23%
iter 39180: loss 3.0188, time 3934.84ms, mfu 33.33%
iter 39190: loss 3.2288, time 4304.12ms, mfu 33.13%
iter 39200: loss 2.9301, time 3934.95ms, mfu 33.24%
iter 39210: loss 3.1684, time 4008.86ms, mfu 33.27%
iter 39220: loss 3.1510, time 3936.12ms, mfu 33.37%
iter 39230: loss 3.1146, time 3936.96ms, mfu 33.45%
iter 39240: loss 3.1765, time 3936.41ms, mfu 33.53%
iter 39250: loss 2.9509, time 3936.38ms, mfu 33.59%
iter 39260: loss 3.1224, time 4018.69ms, mfu 33.59%
iter 39270: loss 3.0622, time 3936.80ms, mfu 33.65%
iter 39280: loss 2.7946, time 3935.71ms, mfu 33.70%
iter 39290: loss 3.0484, time 3937.08ms, mfu 33.75%
iter 39300: loss 3.1317, time 3935.60ms, mfu 33.80%
iter 39310: loss 3.0543, time 3937.70ms, mfu 33.84%
iter 39320: loss 3.1954, time 4144.15ms, mfu 33.71%
iter 39330: loss 3.1595, time 3938.21ms, mfu 33.75%
iter 39340: loss 3.0593, time 4165.98ms, mfu 33.61%
iter 39350: loss 2.9571, time 3938.68ms, mfu 33.67%
iter 39360: loss 2.9874, time 3936.50ms, mfu 33.72%
iter 39370: loss 3.1129, time 3936.12ms, mfu 33.77%
iter 39380: loss 2.9481, time 3937.58ms, mfu 33.81%
iter 39390: loss 3.1362, time 3938.07ms, mfu 33.85%
iter 39400: loss 2.8329, time 3936.91ms, mfu 33.89%
iter 39410: loss 2.9606, time 3937.98ms, mfu 33.92%
iter 39420: loss 3.0530, time 3938.57ms, mfu 33.95%
iter 39430: loss 3.1290, time 3937.79ms, mfu 33.97%
iter 39440: loss 3.0993, time 3937.53ms, mfu 33.99%
iter 39450: loss 3.0381, time 3938.46ms, mfu 34.01%
iter 39460: loss 2.9269, time 3937.44ms, mfu 34.03%
iter 39470: loss 3.0433, time 4340.13ms, mfu 33.73%
iter 39480: loss 3.1994, time 3936.64ms, mfu 33.78%
iter 39490: loss 3.0780, time 3981.04ms, mfu 33.78%
step 39500: train loss 3.0523, val loss 3.0672
saving checkpoint to out
iter 39500: loss 2.8744, time 18331.44ms, mfu 31.14%
iter 39510: loss 3.0404, time 3936.54ms, mfu 31.45%
iter 39520: loss 2.9482, time 3937.98ms, mfu 31.72%
iter 39530: loss 2.8945, time 3967.30ms, mfu 31.94%
iter 39540: loss 2.9980, time 4149.18ms, mfu 31.99%
iter 39550: loss 3.1252, time 3936.80ms, mfu 32.22%
iter 39560: loss 2.9959, time 4188.80ms, mfu 32.21%
iter 39570: loss 3.1041, time 3938.98ms, mfu 32.41%
iter 39580: loss 3.2190, time 3936.52ms, mfu 32.59%
iter 39590: loss 3.0608, time 4114.59ms, mfu 32.60%
iter 39600: loss 3.0418, time 3937.63ms, mfu 32.76%
iter 39610: loss 3.0483, time 3936.95ms, mfu 32.90%
iter 39620: loss 3.0756, time 4211.75ms, mfu 32.81%
iter 39630: loss 3.0167, time 3939.34ms, mfu 32.95%
iter 39640: loss 3.1088, time 3938.12ms, mfu 33.07%
iter 39650: loss 2.7843, time 4242.51ms, mfu 32.94%
iter 39660: loss 3.0217, time 3939.02ms, mfu 33.06%
iter 39670: loss 2.9067, time 3938.61ms, mfu 33.18%
iter 39680: loss 3.1253, time 4241.42ms, mfu 33.03%
iter 39690: loss 3.1819, time 4341.38ms, mfu 32.83%
iter 39700: loss 3.1145, time 3937.23ms, mfu 32.97%
iter 39710: loss 3.1052, time 4131.84ms, mfu 32.93%
iter 39720: loss 3.0497, time 3938.52ms, mfu 33.06%
iter 39730: loss 3.2388, time 3938.23ms, mfu 33.17%
iter 39740: loss 3.0140, time 4168.11ms, mfu 33.08%
iter 39750: loss 3.0029, time 3936.48ms, mfu 33.20%
iter 39760: loss 2.8755, time 3936.37ms, mfu 33.30%
iter 39770: loss 3.1331, time 4167.13ms, mfu 33.20%
iter 39780: loss 3.0858, time 3938.18ms, mfu 33.30%
iter 39790: loss 3.0279, time 3938.14ms, mfu 33.39%
iter 39800: loss 3.0614, time 4087.65ms, mfu 33.34%
iter 39810: loss 3.0271, time 3936.35ms, mfu 33.43%
iter 39820: loss 3.1200, time 4252.74ms, mfu 33.25%
iter 39830: loss 3.1367, time 4061.33ms, mfu 33.24%
iter 39840: loss 2.9087, time 4084.86ms, mfu 33.22%
iter 39850: loss 3.1111, time 3937.86ms, mfu 33.31%
iter 39860: loss 3.1162, time 3972.35ms, mfu 33.37%
iter 39870: loss 3.2340, time 3938.72ms, mfu 33.45%
iter 39880: loss 2.9597, time 3968.71ms, mfu 33.50%
iter 39890: loss 2.9558, time 3938.98ms, mfu 33.57%
iter 39900: loss 2.7602, time 3936.56ms, mfu 33.63%
iter 39910: loss 2.9944, time 3938.24ms, mfu 33.69%
iter 39920: loss 3.0374, time 3937.58ms, mfu 33.74%
iter 39930: loss 2.9445, time 3938.88ms, mfu 33.79%
iter 39940: loss 3.1140, time 3938.27ms, mfu 33.83%
iter 39950: loss 3.0266, time 4105.39ms, mfu 33.72%
iter 39960: loss 3.0169, time 3938.25ms, mfu 33.77%
iter 39970: loss 2.9657, time 4227.33ms, mfu 33.58%
iter 39980: loss 2.8320, time 3938.31ms, mfu 33.64%
iter 39990: loss 3.1869, time 3936.06ms, mfu 33.70%
step 40000: train loss 3.0611, val loss 3.0586
saving checkpoint to out
iter 40000: loss 2.9033, time 18126.62ms, mfu 31.07%
iter 40010: loss 2.9040, time 3936.41ms, mfu 31.38%
iter 40020: loss 3.0994, time 3936.00ms, mfu 31.67%
iter 40030: loss 3.1474, time 3934.88ms, mfu 31.92%
iter 40040: loss 2.9504, time 4318.89ms, mfu 31.85%
iter 40050: loss 3.1975, time 3935.70ms, mfu 32.08%
iter 40060: loss 2.9593, time 4019.97ms, mfu 32.23%
iter 40070: loss 3.0287, time 3934.29ms, mfu 32.43%
iter 40080: loss 3.1113, time 3936.43ms, mfu 32.60%
iter 40090: loss 3.0550, time 3936.00ms, mfu 32.77%
iter 40100: loss 3.0317, time 3934.94ms, mfu 32.91%
iter 40110: loss 3.0514, time 3934.56ms, mfu 33.04%
iter 40120: loss 3.2423, time 3932.37ms, mfu 33.16%
iter 40130: loss 3.2017, time 3937.49ms, mfu 33.27%
iter 40140: loss 3.0492, time 3935.83ms, mfu 33.36%
iter 40150: loss 2.9386, time 3934.64ms, mfu 33.45%
iter 40160: loss 3.1554, time 3935.30ms, mfu 33.52%
iter 40170: loss 2.8547, time 4000.73ms, mfu 33.54%
iter 40180: loss 3.0282, time 3935.48ms, mfu 33.61%
iter 40190: loss 3.1776, time 4338.54ms, mfu 33.35%
iter 40200: loss 3.0911, time 3933.69ms, mfu 33.44%
iter 40210: loss 2.9583, time 3933.18ms, mfu 33.52%
iter 40220: loss 3.1662, time 3935.62ms, mfu 33.59%
iter 40230: loss 3.0932, time 3936.87ms, mfu 33.65%
iter 40240: loss 2.9566, time 3935.45ms, mfu 33.71%
iter 40250: loss 2.9914, time 3935.48ms, mfu 33.76%
iter 40260: loss 3.2669, time 3934.60ms, mfu 33.80%
iter 40270: loss 2.9303, time 3934.32ms, mfu 33.85%
iter 40280: loss 3.0966, time 4005.67ms, mfu 33.82%
iter 40290: loss 3.0055, time 3933.94ms, mfu 33.86%
iter 40300: loss 2.9563, time 3934.56ms, mfu 33.90%
iter 40310: loss 3.0622, time 4019.95ms, mfu 33.86%
iter 40320: loss 2.9569, time 4336.81ms, mfu 33.58%
iter 40330: loss 3.0840, time 3935.86ms, mfu 33.64%
iter 40340: loss 3.0664, time 4213.88ms, mfu 33.47%
iter 40350: loss 3.3674, time 3933.95ms, mfu 33.55%
iter 40360: loss 3.1577, time 3934.64ms, mfu 33.62%
iter 40370: loss 3.0497, time 4146.77ms, mfu 33.50%
iter 40380: loss 2.7929, time 4008.61ms, mfu 33.51%
iter 40390: loss 3.3697, time 3936.35ms, mfu 33.58%
iter 40400: loss 3.0736, time 4147.78ms, mfu 33.47%
iter 40410: loss 3.0749, time 3936.40ms, mfu 33.54%
iter 40420: loss 2.9066, time 3934.61ms, mfu 33.61%
iter 40430: loss 3.0271, time 4241.01ms, mfu 33.43%
iter 40440: loss 3.2015, time 3935.71ms, mfu 33.50%
iter 40450: loss 2.9013, time 4192.37ms, mfu 33.37%
iter 40460: loss 2.9939, time 4171.38ms, mfu 33.26%
iter 40470: loss 3.1697, time 4152.31ms, mfu 33.17%
iter 40480: loss 3.0029, time 3935.99ms, mfu 33.28%
iter 40490: loss 3.1131, time 4093.66ms, mfu 33.24%
step 40500: train loss 3.0587, val loss 3.0791
saving checkpoint to out
iter 40500: loss 2.8818, time 18085.31ms, mfu 30.66%
iter 40510: loss 2.8672, time 3935.47ms, mfu 31.02%
iter 40520: loss 2.9790, time 3936.95ms, mfu 31.34%
iter 40530: loss 2.8148, time 3936.13ms, mfu 31.62%
iter 40540: loss 3.1229, time 4339.48ms, mfu 31.56%
iter 40550: loss 3.0148, time 3936.67ms, mfu 31.83%
iter 40560: loss 2.8986, time 3953.55ms, mfu 32.05%
iter 40570: loss 3.1613, time 3934.25ms, mfu 32.27%
iter 40580: loss 3.0869, time 3934.99ms, mfu 32.46%
iter 40590: loss 3.0125, time 3936.44ms, mfu 32.64%
iter 40600: loss 3.0199, time 3935.06ms, mfu 32.80%
iter 40610: loss 2.9908, time 3935.08ms, mfu 32.94%
iter 40620: loss 3.0160, time 3934.46ms, mfu 33.07%
iter 40630: loss 3.0158, time 3935.77ms, mfu 33.18%
iter 40640: loss 3.1423, time 3935.27ms, mfu 33.29%
iter 40650: loss 2.9801, time 3935.14ms, mfu 33.38%
iter 40660: loss 2.9336, time 3935.78ms, mfu 33.46%
iter 40670: loss 3.0802, time 4114.89ms, mfu 33.39%
iter 40680: loss 2.9512, time 3936.31ms, mfu 33.47%
iter 40690: loss 3.0593, time 4230.53ms, mfu 33.31%
iter 40700: loss 2.9690, time 3935.63ms, mfu 33.40%
iter 40710: loss 3.1705, time 3935.95ms, mfu 33.48%
iter 40720: loss 3.0612, time 3935.84ms, mfu 33.55%
iter 40730: loss 3.1653, time 3936.65ms, mfu 33.62%
iter 40740: loss 2.9805, time 3936.62ms, mfu 33.68%
iter 40750: loss 3.0368, time 3936.57ms, mfu 33.73%
iter 40760: loss 2.9529, time 3937.37ms, mfu 33.78%
iter 40770: loss 2.9663, time 3936.18ms, mfu 33.82%
iter 40780: loss 3.0398, time 3937.09ms, mfu 33.86%
iter 40790: loss 2.9593, time 3936.72ms, mfu 33.89%
iter 40800: loss 3.1420, time 3935.20ms, mfu 33.93%
iter 40810: loss 2.9482, time 3936.42ms, mfu 33.95%
iter 40820: loss 3.0999, time 4340.33ms, mfu 33.66%
iter 40830: loss 3.0313, time 3936.30ms, mfu 33.72%
iter 40840: loss 3.0489, time 3958.67ms, mfu 33.75%
iter 40850: loss 3.2120, time 3934.67ms, mfu 33.79%
iter 40860: loss 3.0324, time 3936.30ms, mfu 33.84%
iter 40870: loss 3.0388, time 3937.01ms, mfu 33.87%
iter 40880: loss 3.0076, time 3935.40ms, mfu 33.91%
iter 40890: loss 2.9780, time 3937.05ms, mfu 33.94%
iter 40900: loss 2.9832, time 3937.79ms, mfu 33.96%
iter 40910: loss 2.9578, time 4273.17ms, mfu 33.72%
iter 40920: loss 3.0473, time 3935.66ms, mfu 33.77%
iter 40930: loss 3.2443, time 3937.16ms, mfu 33.81%
iter 40940: loss 3.0205, time 3963.32ms, mfu 33.83%
iter 40950: loss 2.9794, time 3975.64ms, mfu 33.83%
iter 40960: loss 3.0873, time 3936.01ms, mfu 33.87%
iter 40970: loss 3.1659, time 4338.15ms, mfu 33.59%
iter 40980: loss 3.1096, time 3934.11ms, mfu 33.65%
iter 40990: loss 3.1850, time 3937.24ms, mfu 33.71%
step 41000: train loss 3.0651, val loss 3.0600
saving checkpoint to out
iter 41000: loss 3.0522, time 18199.33ms, mfu 31.08%
iter 41010: loss 3.2020, time 3933.77ms, mfu 31.39%
iter 41020: loss 3.0185, time 3937.39ms, mfu 31.67%
iter 41030: loss 3.0518, time 3935.56ms, mfu 31.93%
iter 41040: loss 3.1655, time 4077.72ms, mfu 32.04%
iter 41050: loss 3.2002, time 4023.16ms, mfu 32.18%
iter 41060: loss 2.9560, time 4247.51ms, mfu 32.13%
iter 41070: loss 2.9982, time 3936.03ms, mfu 32.34%
iter 41080: loss 2.9318, time 3934.76ms, mfu 32.53%
iter 41090: loss 3.0895, time 3936.51ms, mfu 32.70%
iter 41100: loss 2.9972, time 3933.75ms, mfu 32.85%
iter 41110: loss 3.2637, time 3936.20ms, mfu 32.99%
iter 41120: loss 2.9152, time 3933.57ms, mfu 33.11%
iter 41130: loss 3.0041, time 3936.28ms, mfu 33.22%
iter 41140: loss 2.8898, time 3935.04ms, mfu 33.32%
iter 41150: loss 2.7790, time 3935.48ms, mfu 33.41%
iter 41160: loss 3.0290, time 3936.22ms, mfu 33.49%
iter 41170: loss 2.8438, time 3935.65ms, mfu 33.56%
iter 41180: loss 3.2387, time 3936.96ms, mfu 33.63%
iter 41190: loss 3.1427, time 4339.67ms, mfu 33.37%
iter 41200: loss 3.0654, time 3935.53ms, mfu 33.45%
iter 41210: loss 3.1283, time 4027.82ms, mfu 33.45%
iter 41220: loss 2.8713, time 3936.41ms, mfu 33.53%
iter 41230: loss 3.0895, time 3935.21ms, mfu 33.60%
iter 41240: loss 3.1463, time 3934.36ms, mfu 33.66%
iter 41250: loss 2.9632, time 3935.38ms, mfu 33.71%
iter 41260: loss 3.0370, time 3933.96ms, mfu 33.77%
iter 41270: loss 3.1300, time 3935.47ms, mfu 33.81%
iter 41280: loss 3.2434, time 3936.84ms, mfu 33.85%
iter 41290: loss 3.1004, time 3934.81ms, mfu 33.89%
iter 41300: loss 3.0917, time 3936.32ms, mfu 33.92%
iter 41310: loss 3.0334, time 3936.71ms, mfu 33.95%
iter 41320: loss 2.9302, time 4038.53ms, mfu 33.89%
iter 41330: loss 3.0694, time 3936.62ms, mfu 33.92%
iter 41340: loss 3.0126, time 4305.64ms, mfu 33.66%
iter 41350: loss 3.1875, time 3934.44ms, mfu 33.71%
iter 41360: loss 3.1405, time 3955.79ms, mfu 33.75%
iter 41370: loss 3.1362, time 3935.89ms, mfu 33.79%
iter 41380: loss 3.0180, time 3934.09ms, mfu 33.84%
iter 41390: loss 2.9878, time 3934.90ms, mfu 33.87%
iter 41400: loss 3.1035, time 3933.86ms, mfu 33.91%
iter 41410: loss 3.2784, time 3935.71ms, mfu 33.94%
iter 41420: loss 3.1074, time 3935.05ms, mfu 33.97%
iter 41430: loss 2.9113, time 3936.13ms, mfu 33.99%
iter 41440: loss 2.9395, time 3933.69ms, mfu 34.02%
iter 41450: loss 3.1731, time 3935.78ms, mfu 34.04%
iter 41460: loss 3.3136, time 3936.14ms, mfu 34.05%
iter 41470: loss 2.9050, time 4339.05ms, mfu 33.75%
iter 41480: loss 3.0028, time 3936.30ms, mfu 33.80%
iter 41490: loss 3.1355, time 3958.23ms, mfu 33.82%
step 41500: train loss 3.0674, val loss 3.0671
saving checkpoint to out
iter 41500: loss 2.8891, time 18168.64ms, mfu 31.18%
iter 41510: loss 3.0712, time 3932.97ms, mfu 31.49%
iter 41520: loss 3.2171, time 4230.82ms, mfu 31.52%
iter 41530: loss 2.9781, time 3940.49ms, mfu 31.78%
iter 41540: loss 3.1370, time 3964.73ms, mfu 32.00%
iter 41550: loss 2.9040, time 4181.96ms, mfu 32.02%
iter 41560: loss 2.8940, time 4342.93ms, mfu 31.92%
iter 41570: loss 3.0999, time 3938.85ms, mfu 32.15%
iter 41580: loss 2.9158, time 3981.61ms, mfu 32.31%
iter 41590: loss 3.1867, time 3939.46ms, mfu 32.50%
iter 41600: loss 3.0338, time 3939.19ms, mfu 32.67%
iter 41610: loss 2.9545, time 3947.70ms, mfu 32.81%
iter 41620: loss 3.0961, time 3939.11ms, mfu 32.95%
iter 41630: loss 3.1194, time 3939.42ms, mfu 33.07%
iter 41640: loss 2.9437, time 3952.93ms, mfu 33.17%
iter 41650: loss 2.9456, time 3939.30ms, mfu 33.27%
iter 41660: loss 3.0637, time 3939.93ms, mfu 33.36%
iter 41670: loss 3.0174, time 3939.50ms, mfu 33.45%
iter 41680: loss 3.0527, time 3938.88ms, mfu 33.52%
iter 41690: loss 2.9873, time 4326.59ms, mfu 33.28%
iter 41700: loss 2.9952, time 3938.75ms, mfu 33.37%
iter 41710: loss 3.0535, time 4018.96ms, mfu 33.38%
iter 41720: loss 2.8905, time 3940.24ms, mfu 33.46%
iter 41730: loss 3.0552, time 3941.51ms, mfu 33.53%
iter 41740: loss 3.1656, time 3940.46ms, mfu 33.60%
iter 41750: loss 3.0408, time 3940.25ms, mfu 33.66%
