step 26000: train loss 3.0945, val loss 3.1055
saving checkpoint to out
iter 27290: loss 2.7408, time 4183.75ms, mfu 32.66%
iter 27300: loss 3.0528, time 4042.39ms, mfu 32.73%
iter 27310: loss 3.1155, time 4048.17ms, mfu 32.78%
iter 27320: loss 3.0609, time 4177.93ms, mfu 32.73%
iter 27330: loss 3.0294, time 4045.40ms, mfu 32.78%
iter 27340: loss 3.1403, time 4049.31ms, mfu 32.83%
iter 27350: loss 3.0346, time 4088.69ms, mfu 32.84%
iter 27360: loss 3.1396, time 4269.52ms, mfu 32.71%
iter 27370: loss 3.0765, time 4060.09ms, mfu 32.76%
iter 27380: loss 3.1544, time 4045.60ms, mfu 32.81%
iter 27390: loss 2.6601, time 4050.20ms, mfu 32.85%
iter 27400: loss 2.9432, time 4077.36ms, mfu 32.87%
iter 27410: loss 3.2731, time 4060.10ms, mfu 32.90%
iter 27420: loss 3.1739, time 4053.09ms, mfu 32.93%
iter 27430: loss 3.0716, time 4149.40ms, mfu 32.88%
iter 27440: loss 3.1619, time 4054.08ms, mfu 32.92%
iter 27450: loss 3.1277, time 4153.75ms, mfu 32.87%
iter 27460: loss 3.2161, time 4253.85ms, mfu 32.75%
iter 27470: loss 3.2058, time 4048.59ms, mfu 32.80%
iter 27480: loss 3.2171, time 4052.73ms, mfu 32.84%
iter 27490: loss 3.0830, time 4282.11ms, mfu 32.70%
step 27500: train loss 3.0760, val loss 3.0844
saving checkpoint to out
iter 27500: loss 2.8353, time 18526.07ms, mfu 30.16%
iter 27510: loss 3.0800, time 4061.03ms, mfu 30.46%
iter 27520: loss 3.1358, time 4350.66ms, mfu 30.51%
iter 27530: loss 3.1954, time 4233.73ms, mfu 30.64%
iter 27540: loss 3.2804, time 4058.34ms, mfu 30.89%
iter 27550: loss 3.3696, time 4063.68ms, mfu 31.12%
iter 27560: loss 3.2700, time 4154.48ms, mfu 31.25%
iter 27570: loss 2.9604, time 4063.00ms, mfu 31.44%
iter 27580: loss 3.1025, time 4051.50ms, mfu 31.62%
iter 27590: loss 3.2243, time 4183.11ms, mfu 31.67%
iter 27600: loss 3.3368, time 4051.75ms, mfu 31.83%
iter 27610: loss 3.0600, time 4065.02ms, mfu 31.96%
iter 27620: loss 3.0078, time 4099.90ms, mfu 32.05%
iter 27630: loss 3.2369, time 4163.21ms, mfu 32.08%
iter 27640: loss 2.6974, time 4046.02ms, mfu 32.20%
iter 27650: loss 3.0613, time 4050.86ms, mfu 32.30%
iter 27660: loss 3.0211, time 4054.24ms, mfu 32.39%
iter 27670: loss 3.0437, time 4046.82ms, mfu 32.48%
iter 27680: loss 3.0443, time 4052.24ms, mfu 32.56%
iter 27690: loss 3.2515, time 4056.11ms, mfu 32.62%
iter 27700: loss 2.9634, time 4054.70ms, mfu 32.68%
iter 27710: loss 3.1985, time 4054.84ms, mfu 32.73%
iter 27720: loss 3.1721, time 4268.01ms, mfu 32.61%
iter 27730: loss 3.1362, time 4115.60ms, mfu 32.63%
iter 27740: loss 3.2052, time 4053.81ms, mfu 32.68%
iter 27750: loss 2.9822, time 4209.46ms, mfu 32.61%
